Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Distance,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types
ELEC,iPark - Tesla,27 W 105th St,,New York,NY,10025,,212-666-7246  877-798-3752,E,,Public,24 hours daily; for Tesla use only; see valet for access,,,,,,2,,,Tesla,http://www.teslamotors.com/supercharger,200-8,40.797771,-73.9614319,2016-09-02,78097,0.67643,2017-01-18 01:40:59 UTC,P,,,2016-08-15,,,,,TESLA
ELEC,iPark - Tesla,49 W 116th St,,New York,NY,10026,,212-860-7691  877-798-3752,E,,Public,24 hours daily; for Tesla use only; see valet for access,,,,,,2,,,Tesla,http://www.teslamotors.com/supercharger,200-8,40.8017721,-73.9485568,2016-09-02,78114,0.83561,2017-01-18 01:06:00 UTC,P,,,2016-08-15,,,,,TESLA
ELEC,Quik Park - Tesla,808 Columbus Ave,,New York,NY,10025,,212-352-0514  877-798-3752,E,,Public,24 hours daily; for Tesla use only; see valet for access,,,,,,2,,,Tesla,http://www.teslamotors.com/supercharger,200-9,40.7946583,-73.9666277,2016-04-04,74459,0.91366,2017-01-18 02:00:52 UTC,P,,,2016-01-01,,,,,TESLA
ELEC,Quik Park - Tesla,250 W 97th St,,New York,NY,10025,,212-864-9352  877-798-3752,E,,Public,24 hours daily; for Tesla use only; see valet for access,,,,,,2,,,Tesla,http://www.teslamotors.com/supercharger,200-9,40.7953925,-73.9721339,2016-04-04,74410,0.97644,2017-01-18 00:53:52 UTC,P,,,2016-01-01,,,,,TESLA
ELEC,Icon Parking - Tesla,169 W 95th St,,New York,NY,10025,,212-749-6218  877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,,,2,,,Tesla,http://www.teslamotors.com/supercharger,200-8,40.793531,-73.970223,2016-06-03,75754,1.04631,2017-01-18 01:37:21 UTC,P,,,2016-05-01,,,,,TESLA
ELEC,MP GARDEN LLC,1214 Fifth Avenue,MP 102 LLC; -,New York,NY,10029,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.7912673,-73.9520388,2017-02-21,58234,1.2511,2017-02-21 10:06:01 UTC,,,,,,,,,J1772
ELEC,RapidPark - Tesla,600 Columbus Ave,,New York,NY,10128,,212-874-7086  877-798-3752,E,,Public,24 hours daily; for Tesla use only; see valet for access,,,,,,2,,,Tesla,http://www.teslamotors.com/supercharger,200-9,40.7888674,-73.9708491,2016-09-02,78092,1.35931,2017-01-18 01:40:57 UTC,P,,,2016-08-15,,,,,TESLA
ELEC,The Centra - Imperial Parking - Station 1,100  W 89th St,,New York,NY,10024,,855-443-3873,E,,Public,24 hours daily,,,,,,1,,,GE WattStation,https://www.gewattstation.com,GPS,40.7884204,-73.9710821,2017-02-21,72910,1.39244,2017-02-21 11:29:50 UTC,,,,,,,,,J1772
ELEC,The Centra - Imperial Parking - Station 2,100  W 89th St,,New York,NY,10024,,855-443-3873,E,,Public,24 hours daily,,,,,,1,,,GE WattStation,https://www.gewattstation.com,GPS,40.7884204,-73.9710821,2017-02-21,72821,1.39244,2017-02-21 11:27:22 UTC,,,,,,,,,J1772
ELEC,CARCHARGING,214 W 88th St,CENTRAL PKG #1; See Valet Attendant to charge your vehicle,New York,NY,10024,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.7892181,-73.9749593,2017-02-21,50711,1.42109,2017-02-21 10:15:56 UTC,,,,,,,,,NEMA520 J1772
