Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Distance,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types
ELEC,SCPGB Station E,2200 Mission College Blvd,,Santa Clara,CA,95054,,855-443-3873,E,,Private,,,,,,,1,,,GE WattStation,https://www.gewattstation.com,GPS,37.387957591,-121.9651093319,2017-02-23,72812,0.31219,2017-02-23 11:38:53 UTC,,,,,,,,,J1772
ELEC,LADWP - Parthenia,18721 Parthenia ,,Los Angeles,CA,91324,,,E,,Private - Government only,,,,,,,,,2 SP Inductive,,,GPS,34.2287165,-118.5414324,2016-10-04,78833,4.84541,2017-01-18 00:38:23 UTC,LG,,,1999-10-15,,,,,
ELEC,The Ford Store,17045 Condit Rd,,Morgan Hill,CA,95037,,408-782-8201,E,,Public,Dealership business hours,,,,,,2,,,,,200-8,37.1344913,-121.6329352,2016-05-09,63987,1.02195,2017-01-18 00:58:33 UTC,P,,,2014-08-01,,,,,J1772
ELEC,HUDSON GATEWAY,2045 Gateway,BLDG 2 UNIT 2; -,San Jose,CA,95110,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,37.3711293,-121.9262052,2017-02-23,77763,0.44575,2017-02-23 09:03:11 UTC,,,,,,,,,J1772
ELEC,Premier Nissan of Fremont,5701 Cushing Pkwy,,Fremont,CA,94538,,510-668-8700,E,,Private,,,,,,,1,,,,,GPS,37.489389,-121.9576,2016-05-09,48183,4.79124,2017-02-17 19:50:35 UTC,P,,,2011-03-15,,,,,J1772
ELEC,GE WattStation #7,1551 McCarthy Blvd.,,Milpitas,CA,95035,,855-443-3873,E,,Public,24 hours daily,,,,,,1,,,GE WattStation,https://www.gewattstation.com,GPS,37.4057,-121.9192407,2017-02-23,77010,2.36057,2017-02-23 11:37:08 UTC,,,,,,,,,J1772
ELEC,ESSEX,1102 S Abel St,"APEX 3
APEX 1
APEX 2",Milpitas,CA,95035,,888-758-4389,E,,Public,24 hours daily,,,,,,6,,,ChargePoint Network,http://www.chargepoint.com/,200-9,37.4142289,-121.9037092,2017-02-23,78471,3.3849,2017-02-23 08:56:22 UTC,,,,,,,,,J1772
ELEC,PACIFIC BMW,800 S Brand Blvd,DC FAST 01; -,Glendale,CA,91204,,888-758-4389,E,,Public,24 hours daily,,,,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,34.1366916,-118.2545573,2017-02-23,81209,3.34851,2017-02-23 09:40:02 UTC,,,,,,,,,J1772COMBO
ELEC,CCSF-SFMTA,1610 Geary Blvd,JAPAN CENTER; Public Parking Level 1 - Parking Rates Apply,San Francisco,CA,94115,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,37.7849121,-122.4302368,2017-02-23,41340,0.90963,2017-02-23 10:21:43 UTC,,,,,,,,,NEMA520 J1772
ELEC,CCSF-SFMTA,1399 Bush St,POLK   BUSH; Public Parking Level 1,San Francisco,CA,94109,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,37.7886429,-122.4200287,2017-02-23,41341,0.95561,2017-02-23 10:21:40 UTC,,,,,,,,,NEMA520 J1772
ELEC,CCSF-SFMTA,123 O'Farrell St,ELLIS O'FARRELL; Enter on Ellis Street - Lower Level Entrance - Lev B1       ,San Francisco,CA,94102,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,37.7863655,-122.4071274,2017-02-23,41339,1.03827,2017-02-23 10:21:43 UTC,,,,,,,,,NEMA520 J1772
ELEC,Kaiser Permanente - LA Med Ctr.,4867 Sunset Blvd,,Los Angeles,CA,90017,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,34.098146,-118.295405,2017-02-23,21394,0.15837,2017-02-23 08:12:02 UTC,,,,,,,,,J1772
ELEC,CITY PARK,600-698 Merchant St,CITY PARK 1; Chargers available Monday - Friday 6AM to 7PM. Please valet park and request a vehicle charge.,San Francisco,CA,94108,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,37.7951078,-122.4036392,2017-02-23,51243,1.64501,2017-02-23 10:07:30 UTC,,,,,,,,,J1772
ELEC,USC CAMPUS,933-999 Downey Way,"LOT #2, #1; Enter from Downey Way",Los Angeles,CA,90089,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,34.0210484,-118.2882767,2017-02-23,62344,3.33755,2017-02-23 09:49:46 UTC,,,,,,,,,J1772
ELEC,411 S Hewitt St,411 South Hewitt Street,,Los Angeles,CA,90068,,800-663-5633,E,,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,34.043,-118.23561,2017-02-23,65823,0.78909,2017-02-23 08:50:17 UTC,,,,,,,,,J1772
ELEC,SC Garage C Station J,2200 Mission College Blvd,,Santa Clara,CA,95054,,855-443-3873,E,,Private,,,,,,,1,,,GE WattStation,https://www.gewattstation.com,GPS,37.385113438,-121.9641079651,2017-02-23,76416,0.40688,2017-02-23 11:36:24 UTC,,,,,,,,,J1772
ELEC,MET LOFTS,1050 S Flower St,MET LOFT STAT 1; Station is located in the first level garage.,Los Angeles,CA,90015,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,34.0430523,-118.2637281,2017-02-23,77532,1.28145,2017-02-23 09:23:28 UTC,,,,,,,,,J1772
ELEC,THECAMDEN,1540-1578 Vine St,B2 ST1; -,Los Angeles,CA,90028,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,34.0990062,-118.3261481,2017-02-23,81174,1.44674,2017-02-23 08:54:13 UTC,,,,,,,,,J1772
