Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types
CNG,Clean Energy - Greenpoint - National Grid,287 Maspeth Ave,"I-278/Brooklyn Queens Expy, exit onto Vandervoort Ave S, left onto Maspeth Ave, and the station is on the left",Brooklyn,NY,11211,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,D M V CleanEnergy FuelMan Voyager Wright_Exp,,Q,3000 3600,,,,,,,GPS,40.718053,-73.931508,2016-04-04,108,2016-07-21 13:21:52 UTC,T,,,2016-07-15,,MD,,,
CNG,Clean Energy - Canarsie - National Grid,8424 Ditmas Ave,"From Shore Pkwy, take Rockaway Pkwy N, left onto Ditmas Ave, and station is on the left",Brooklyn,NY,11236,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,D M V CleanEnergy FuelMan Voyager Wright_Exp,,B,3000 3600,,,,,,,GPS,40.6450546,-73.9199237,2017-01-11,112,2017-01-18 02:55:42 UTC,T,,,1988-01-15,,MD,,,
CNG,Con Edison - W 29th St Service Center,281 11th Ave,"In Manhattan, W 29th Street and 12th Avenue.",New York,NY,10001,,212-643-3054,E,,Public - Card key at all times,24 hours daily; call 718-204-4048 to arrange for card key,,,Q,3600,,,,,,,200-8,40.7528859,-74.005797,2017-02-01,124,2017-02-01 20:08:27 UTC,T,,,2014-05-01,,MD,,,
CNG,Con Edison - E 16th St Service Center,700 E 16th St,"In Manhattan, at Avenue C and E 16th. Broadway: Turn east onto 14th Street, then left onto 1st Avenue at 16th Street.",New York,NY,10009,,212-460-6708,E,,Public - Card key at all times,24 hours daily; call 718-204-4048 to arrange for card key,,,Q,3600,,,,,,,200-8,40.7295269,-73.9744623,2017-02-01,125,2017-02-01 20:14:22 UTC,T,,,1998-01-15,,MD,,,
CNG,Con Edison - Van Nest Service Center,1615 Bronxdale Ave,"Hutchinson River Parkway, exit onto E Tremont Avenue W, right onto Bronxdale Avenue, station on the left. From I-95, take Castle Hill Avenue exit north to E Tremont and Bronx.",Bronx,NY,10462,,718-904-4504,E,,Public - Card key at all times,"8am-6pm M-F, call 718-204-4048 to arrange for card key",,,Q,3000,,,,,,,GPS,40.8441883,-73.8615724,2017-02-01,129,2017-02-01 20:08:31 UTC,T,,,1998-01-15,,MD,,,
CNG,Con Edison - Rye Service Center,178 Theodore Fremd Ave,"I-95/New England Thruway, exit 19 onto Playland Parkway Service Road going south, left onto Theo Fremd, station on left.",Rye,NY,10580,,914-933-2910,T,,TEMPORARILY UNAVAILABLE (Public - Card key at all times),24 hours daily; call 718-204-4048 to arrange for card key,,,Q,3000,,,,,,,200-8,40.9791979,-73.6916993,2017-02-01,130,2017-02-01 20:12:13 UTC,T,,,,,MD,,,
CNG,Clean Energy - OGS Valhalla,7 Dana Rd,"Rt 9A & Dana Rd; Rt 87 to Exit 8 Rt 287 east), take Exit 2 to Rt 9A (north)",Valhalla,NY,10595,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,D M V CleanEnergy FuelMan Voyager Wright_Exp FleetOne,,Q,3000 3600,,,,,,,200-8,41.0812946,-73.8181606,2016-05-09,131,2017-01-18 02:06:01 UTC,SG,,,2001-10-29,,MD,,,
CNG,Con Edison - College Point Service Center,124-15 31st Ave,"From I-678/Whitestone Expressway, exit at Linden Place, I-678 service road W, right onto 31st Avenue, station at intersection with College Point Boulevard.",Queens,NY,11354,,718-321-4608,E,,Public - Card key at all times,"7am-11pm M-F, 7am-3pm Sat-Sun; call 718-204-4048 to arrange for card key",,,Q,3000,,,,,,,GPS,40.7694802,-73.8462265,2017-02-01,132,2017-02-01 20:13:01 UTC,T,,,1998-01-15,,MD,,,
CNG,Clean Energy - Brentwood - National Grid,1650 Islip Ave,"I-495, exit onto SR-111 S, and station is on the right in KeySpan yard",Brentwood,NY,11717,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,D M V CleanEnergy FuelMan Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-8,40.7842714,-73.219801,2017-01-11,448,2017-01-18 02:31:26 UTC,T,,,1995-02-15,,MD,,,
CNG,Clean Energy - Hicksville - National Grid,175 E Old Country Rd,"From I-495 exit onto SR-107 S, left onto E Old Country Rd, and the station is on the right in KeySpan yard",Hicksville,NY,11801,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,D M V CleanEnergy FuelMan Voyager Wright_Exp,,Q,3000,,,,,,,200-8,40.7655928,-73.5120693,2016-04-04,449,2016-07-21 13:25:13 UTC,T,,,1992-07-15,,MD,,,
CNG,Clean Energy - Albany - National Grid,1125 Broadway,"Just south and west  of I-90/I-787 Interchange, between Loudonville Rd and N 1st St",Menands,NY,12204,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,D M V CleanEnergy FuelMan Voyager Wright_Exp,,Q,3600,,,,,,,200-8,42.667569,-73.739345,2017-01-11,703,2017-02-02 18:08:40 UTC,T,,,2011-08-15,,MD,,,
CNG,Nassau Inter-County Express,700 Commercial Ave,,Garden City,NY,11530,,,E,,Private - Government only,,,,Q,3000,,,,,,,200-8,40.7306169,-73.6044816,2016-04-04,1252,2017-01-18 01:15:01 UTC,LG,,,1997-01-15,,HD,,,
CNG,Central New York Regional Transportation Authority - Centro,200 Cortland Ave,"Off 81 at Brighton Avenue, right on S Salina, to Paulman and Cortland.",Syracuse,NY,13202,,315-442-3333,E,,Public - Call ahead,7am-3pm M-F; contact station for billing arrangements,Cash,,Q,3000,,,,,,,200-8,43.0352332,-76.1530981,2016-09-02,7021,2017-01-18 02:00:56 UTC,SG,,,2014-04-15,,HD,,,
CNG,Clean Energy - OGS Albany,323 Southern Blvd,"Thruway exit 23. Take I-787 to first exit, US-9W. Left on Rt 9W to second light, then turn left into OGS McCarty Ave parking lot. The facility is located on the east side of the parking lot",Albany,NY,12209,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,D M V CleanEnergy FuelMan Voyager Wright_Exp FleetOne,,Q,3000 3600,,,,,,,200-8,42.6341396,-73.7750029,2017-02-01,12780,2017-02-01 20:13:27 UTC,SG,,,1999-01-15,,HD,,,
LPG,Suburban Propane,76 Railroad Ave,Close to NY Northway 87,Albany,NY,12205,,518-489-3271,E,,Public - Call ahead,8am-5pm M-F; call station to make arrangements,Cash Checks A D M V,,,,,,,,,,200-8,42.6972742,-73.82593,2017-01-11,13392,2017-01-18 02:50:57 UTC,P,,,2015-03-27,,,false,,
LPG,Combined Energy Services,276 E Broadway,Corner of Pleasantview Ave,Monticello,NY,12701,,845-794-1210  845-794-6226,E,,Public,8am-5pm daily,Cash Checks D M V,,,,,,,,,,200-8,41.6514673,-74.6731822,2017-01-11,13401,2017-01-18 02:52:39 UTC,P,,,,,,true,,
LPG,Washington Mills Citgo,3931 Oneida St,1 block from Route 8 at Kellogg Rd,New Hartford,NY,13413,,315-737-5060,E,,Public,6:30am-11pm daily,Cash A D M V Voyager Wright_Exp,,,,,,,,,,200-8,43.053316,-75.272155,2017-01-11,13424,2017-01-18 02:05:02 UTC,P,,,,,,false,,
LPG,Irish Propane,70 Katherine St,At Bailey and Clinton,Buffalo,NY,14210,,716-852-3335,E,,Public,8am-4:45pm M-F,Cash A D M V,,,,,,,,,,200-8,42.8593992,-78.8589337,2017-01-11,13444,2017-01-18 02:52:47 UTC,P,,,,,,false,,
LPG,Phelps Sungas Inc,3619 Route 5,"At Route 20, 3 miles east of Canandaigua",Canandaigua,NY,14424,,585-394-5090,E,,Public,8am-5pm M-F,Cash D M V,,,,,,,,,,200-8,42.861256,-77.194665,2017-01-11,13446,2017-01-18 02:32:35 UTC,P,,,,,,false,,
LPG,Phelps Sungas Inc,224 Cross Rd,"At intersection of Route 14, 1 mile south of New York State thruway/I-90 exit 42",Geneva,NY,14456,,315-789-3285  800-458-4485,E,,Public,"8am-5pm M-F, 8:30am-12pm Sat",Cash D M V,,,,,,,,,,200-8,42.935011,-76.975578,2017-01-11,13448,2017-01-18 02:52:48 UTC,P,,,,,,true,,
