Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Distance,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types
ELEC,Roosevelt Hospital Garage,515 W 59th St,,New York,NY,10019,,212-957-3692,E,,Public,24 hours daily; pay lot,,,,,1,1,,,,,200-8,40.7709098,-73.9884248,2016-06-03,43745,2.69775,2017-01-18 00:29:02 UTC,P,,,2011-06-15,,,,,NEMA515 J1772
ELEC,Brassworks on Grove,105 Grove St,,Montclair,NJ,07042,,,E,,Private,Tenant use only,,,,,,1,,,,,200-8,40.814195,-74.207906,2016-11-02,61719,1.13177,2017-01-18 00:29:45 UTC,P,,,2007-01-15,,,,,J1772
ELEC,ALFALFAS MARKET,1723-1799 Centennial Dr,"LOUISVILLE #1
LOUISVILLE #2",Louisville,CO,80027,,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.chargepoint.com/,200-8,39.9871167,-105.1333384,2017-02-23,62379,4.69206,2017-02-23 09:50:26 UTC,,,,,,,,,J1772
ELEC,GANLEY BMW,6976 Pearl Rd,PUBLIC STATION; The station lies inbetween the two buildings by a yellow post. ,Middleburg Heights,OH,44130,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.3768817,-81.7952962,2017-02-23,62408,4.9313,2017-02-23 09:51:43 UTC,,,,,,,,,J1772
ELEC,MOTOR POOL,Asser Levy Pl,"CHARGING STA1
CHARGING STA2",New York,NY,10010,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.7369994,-73.9760084,2017-02-23,62819,4.95752,2017-02-23 09:52:45 UTC,,,,,,,,,J1772
ELEC,Central Parking - Tower 31,9 W 31st Street,,New York,NY,10001,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,40.747089,-73.986671,2017-02-23,62968,4.3308,2017-02-23 08:08:49 UTC,,,,,,,,,J1772
ELEC,The Caledonia,450 W 17th Street,"Chargers located on Level 1

Chargers located on Level 1
",New York,NY,10011,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,40.743488,-74.006385,2017-02-23,63144,4.70837,2017-02-23 08:09:48 UTC,,,,,,,,,J1772
ELEC,ADCO1,4430 S Adams County Pkwy,ADAMS CO GOV 1,Brighton,CO,80601,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.9229249,-104.8129417,2017-02-23,63304,3.03584,2017-02-23 09:41:07 UTC,,,,,,,,,J1772
ELEC,HARVEST STATION,11775 Wadsworth Blvd,"BLDG 3000 #1; For residents and guests only
SOUTHWEST 1; For residents and guest use only
SOUTHWEST 2; For use by residents and guests only",Broomfield,CO,80020,,888-758-4389,E,,Public,24 hours daily,,,,,,6,,,ChargePoint Network,http://www.chargepoint.com/,200-8,39.9097768,-105.0822247,2017-02-23,62893,1.12175,2017-02-23 09:49:58 UTC,,,,,,,,,J1772
ELEC,THREE COUNTY VW,701 Riverside Ave,VW_408228_A,Lyndhurst,NJ,07071,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.80805,-74.13685,2017-02-23,64151,1.09849,2017-02-23 09:43:26 UTC,,,,,,,,,J1772
